scenario,source,p,method_family,candidate_label,rank,rank_threshold_constant,lambda_reg,beta_scale,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy,selected
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=10,beta=1",300,,10.0,1.0,10001,637.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Zero-imputed OFUL,"lambda=10,beta=2",300,,10.0,2.0,10001,662.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay fixed-rank,rank=10,10,,,,10000,615.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU first-epoch replay fixed-rank,rank=10,10,,,,10000,654.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB fixed-rank,rank=10,10,,,,10000,379.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay fixed-rank,rank=20,20,,,,10000,678.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU first-epoch replay fixed-rank,rank=20,20,,,,10000,683.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB fixed-rank,rank=20,20,,,,10000,397.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay fixed-rank,rank=40,40,,,,10000,315.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU first-epoch replay fixed-rank,rank=40,40,,,,10000,425.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB fixed-rank,rank=40,40,,,,10000,392.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.03,40,0.03,,,10000,700.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.03,40,0.03,,,10000,353.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.05,40,0.05,,,10000,296.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.05,40,0.05,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.07,40,0.07,,,10000,217.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.07,40,0.07,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.1,40,0.1,,,10000,200.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.1,40,0.1,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.15,40,0.15,,,10000,184.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.15,40,0.15,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.25,40,0.25,,,10000,184.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.25,40,0.25,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.5,40,0.5,,,10000,184.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.5,40,0.5,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=1,40,1.0,,,10000,184.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=1,40,1.0,,,10000,353.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=0.1,beta=0.25",300,,0.1,0.25,10000,209.0,20,300,0.8970073566173845,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=0.1,beta=0.5",300,,0.1,0.5,10000,238.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=0.1,beta=1",300,,0.1,1.0,10000,372.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=0.1,beta=2",300,,0.1,2.0,10000,539.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=1,beta=0.25",300,,1.0,0.25,10000,250.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=1,beta=0.5",300,,1.0,0.5,10000,301.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=1,beta=1",300,,1.0,1.0,10000,400.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=1,beta=2",300,,1.0,2.0,10000,568.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=10,beta=0.25",300,,10.0,0.25,10000,439.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=10,beta=0.5",300,,10.0,0.5,10000,578.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=10,beta=1",300,,10.0,1.0,10000,611.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Zero-imputed OFUL,"lambda=10,beta=2",300,,10.0,2.0,10000,631.0,20,300,0.8970073566173845,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay fixed-rank,rank=10,10,,,,10001,593.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU first-epoch replay fixed-rank,rank=10,10,,,,10001,646.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB fixed-rank,rank=10,10,,,,10001,397.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay fixed-rank,rank=20,20,,,,10001,674.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU first-epoch replay fixed-rank,rank=20,20,,,,10001,702.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB fixed-rank,rank=20,20,,,,10001,436.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay fixed-rank,rank=40,40,,,,10001,356.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU first-epoch replay fixed-rank,rank=40,40,,,,10001,552.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB fixed-rank,rank=40,40,,,,10001,459.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.03,40,0.03,,,10001,625.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.03,40,0.03,,,10001,277.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.05,40,0.05,,,10001,301.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,Masked PSLB adaptive-rank,threshold=0.05,40,0.05,,,10001,277.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.05,TOFU full-history replay adaptive-rank,threshold=0.07,40,0.07,,,10001,192.0,20,300,0.9346475251767731,0
